sample ID (based on genealogy)	profile	platform		Sanger ID		IRCC_full	Sample_PD_ID
CRC0147LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC1285PRX	PD26960a
CRC0147LMX0A01201TUMD01000	GCN	RealTimePCR		PD26140a		CRC1331LMX	PD26961a
CRC0147LMX0A01201TUMD01000	GCN	WES		PD26140a		CRC1319PRX	PD26962a
CRC0147LMX0A01201TUMD01000	MUT	SangerSequencing		PD26140a		CRC1315PRX	PD26963a
CRC0147LMX0A01201TUMD01000	MUT	WES		PD26140a		CRC1304PRX	PD26964a
CRC0147LMX0A02204TUMD06000	MUT	TargetedNGS		PD26140a		CRC1309PRX	PD26965a
CRC0148LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC1357PRX	PD26966a
CRC0148LMX0A01201TUMD01000	GCN	RealTimePCR		PD26003a		CRC1343PRX	PD26967a
CRC0148LMX0A01201TUMD01000	MUT	SangerSequencing		PD26003a		CRC1337LMX	PD26968a
CRC0148LMX0A02201TUMD06000	GCN	TargetedNGS		PD26003a		CRC1340PRX	PD26969a
CRC0148LMX0A02201TUMD06000	MUT	TargetedNGS		PD26003a		CRC1355LMX	PD26970a
CRC0149LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC1306LMX	PD26971a
CRC0149LMX0A01201TUMD01000	GCN	RealTimePCR		PD25972a		CRC1321LMX	PD26973a
CRC0149LMX0A01201TUMD01000	MUT	SangerSequencing		PD25972a		CRC1326LMX	PD26974a
CRC0149LMX0A02204TUMD06000	GCN	TargetedNGS		PD25972a		CRC1318LMX	PD26975a
CRC0149LMX0A02204TUMD06000	MUT	TargetedNGS		PD25972a		CRC1314LMX	PD26977a
CRC0150LMH0000000000D01000	MUT	SangerSequencing		PD26007a		CRC1313LMH	PD26978a
CRC0150LMH0000000000D02000	GCN	TargetedNGS		PD26007a		CRC1313LMX	PD26978c
CRC0150LMH0000000000D02000	MUT	TargetedNGS		PD26007a		CRC1369LMX	PD26979a
CRC0150LMX0A01201TUMD01000	GCN	RealTimePCR		PD26007c		CRC1272LMX	PD26980a
CRC0150LMX0A01201TUMD01000	GCN	WES		PD26007c		CRC1277LMX	PD26981a
CRC0150LMX0A01201TUMD01000	MUT	WES		PD26007c		CRC1278LMX	PD26982a
CRC0150LMX0A02204TUMD06000	GCN	TargetedNGS		PD26007c		CRC1281LMX	PD26983a
CRC0150LMX0A02204TUMD06000	MUT	TargetedNGS		PD26007c		CRC1353LMX	PD26984a
CRC0151LMX0A01201TUMD01000	GCN	RealTimePCR		PD26148a		CRC1342LMX	PD26985a
CRC0151LMX0A01201TUMD01000	GCN	WES		PD26148a		CRC1344LMX	PD26986a
CRC0151LMX0A01201TUMD01000	MUT	WES		PD26148a		CRC1359LMX	PD26987a
CRC0151LMX0B02204TUMD02000	MUT	TargetedNGS		PD26148a			
CRC0152LMX0B01201TUMD02000	GCN	WES		PD26030a			
CRC0152LMX0B01201TUMD02000	MUT	WES		PD26030a			
CRC0152LMX0B02204TUMD06000	GCN	TargetedNGS		PD26030a			
CRC0152LMX0B02204TUMD06000	MUT	TargetedNGS		PD26030a			
CRC0153LMX0A01201TUMD01000	GCN	RealTimePCR		PD25994a			
CRC0153LMX0A01201TUMD01000	GCN	WES		PD25994a			
CRC0153LMX0A01201TUMD01000	MUT	WES		PD25994a			
CRC0153LMX0A02201TUMD06000	GCN	TargetedNGS		PD25994a			
CRC0153LMX0A02201TUMD06000	MUT	TargetedNGS		PD25994a			
CRC0154LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0154LMX0A01201TUMD01000	GCN	RealTimePCR		PD26001a			
CRC0154LMX0A02201TUMD02000	GCN	TargetedNGS		PD26001a			
CRC0154LMX0A02201TUMD02000	MUT	TargetedNGS		PD26001a			
CRC0155LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0155LMX0A01201TUMD01000	GCN	RealTimePCR		PD25997a			
CRC0155LMX0A01201TUMD01000	MUT	SangerSequencing		PD25997a			
CRC0155LMX0A02202TUMD04000	GCN	TargetedNGS		PD25997a			
CRC0155LMX0A02202TUMD04000	MUT	TargetedNGS		PD25997a			
CRC0156LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0156LMX0A01201TUMD01000	GCN	RealTimePCR		PD25985a			
CRC0156LMX0A02204TUMD06000	GCN	TargetedNGS		PD25985a			
CRC0156LMX0A02204TUMD06000	MUT	TargetedNGS		PD25985a			
CRC0157LMX0A02204TUMD06000	GCN	TargetedNGS		PD25977a			
CRC0157LMX0A02204TUMD06000	MUT	TargetedNGS		PD25977a			
CRC0158LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0158LMX0A01201TUMD01000	GCN	RealTimePCR		PD25826a2			
CRC0158LMX0A02203TUMD04000	GCN	TargetedNGS		PD25826a2			
CRC0158LMX0A02203TUMD04000	MUT	TargetedNGS		PD25826a2			
CRC0159LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0159LMX0A01201TUMD01000	GCN	RealTimePCR		PD25982a			
CRC0159LMX0A01201TUMD01000	GCN	WES		PD25982a			
CRC0159LMX0A01201TUMD01000	MUT	SangerSequencing		PD25982a			
CRC0159LMX0A01201TUMD01000	MUT	WES		PD25982a			
CRC0159LMX0A02201TUMD05000	GCN	TargetedNGS		PD25982a			
CRC0159LMX0A02201TUMD05000	MUT	TargetedNGS		PD25982a			
CRC0160LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0160LMX0A01201TUMD01000	GCN	RealTimePCR		PD26004a			
CRC0160LMX0B01201TUMD02000	GCN	TargetedNGS		PD26004a			
CRC0160LMX0B01201TUMD02000	MUT	TargetedNGS		PD26004a			
CRC0161LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0161LMX0A01201TUMD01000	GCN	RealTimePCR		PD26011a2			
CRC0161LMX0A01201TUMD01000	GCN	WES		PD26011a2			
CRC0161LMX0A01201TUMD01000	MUT	SangerSequencing		PD26011a2			
CRC0161LMX0A01201TUMD01000	MUT	WES		PD26011a2			
CRC0161LMX0A02202TUMD04000	GCN	TargetedNGS		PD26011a2			
CRC0161LMX0A02202TUMD04000	MUT	TargetedNGS		PD26011a2			
CRC0162LMH0000000000D01000	MUT	SangerSequencing		PD25981a			
CRC0162LMH0000000000D02000	GCN	TargetedNGS		PD25981a			
CRC0162LMH0000000000D02000	MUT	TargetedNGS		PD25981a			
CRC0162LMX0B01201TUMD01000	GCN	RealTimePCR		PD25981c			
CRC0162LMX0B02204TUMD05000	GCN	TargetedNGS		PD25981c			
CRC0162LMX0B02204TUMD05000	MUT	TargetedNGS		PD25981c			
CRC0163LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0163LMX0B01201TUMD01000	GCN	RealTimePCR		PD26010a			
CRC0163LMX0B01201TUMD02000	GCN	TargetedNGS		PD26010a			
CRC0163LMX0B01201TUMD02000	MUT	TargetedNGS		PD26010a			
CRC0164LMX0B02201TUMD01000	GCN	RealTimePCR		PD25827a2			
CRC0164LMX0B02201TUMD01000	MUT	SangerSequencing		PD25827a2			
CRC0164LMX0B02201TUMD05000	GCN	TargetedNGS		PD25827a2			
CRC0164LMX0B02201TUMD05000	MUT	TargetedNGS		PD25827a2			
CRC0165LMH0000000000D01000	MUT	SangerSequencing		PD25999a			
CRC0165LMH0000000000D02000	GCN	TargetedNGS		PD25999a			
CRC0165LMH0000000000D02000	MUT	TargetedNGS		PD25999a			
CRC0165LMX0A01201TUMD01000	GCN	RealTimePCR		PD25999c2			
CRC0165LMX0B02203TUMD05000	GCN	TargetedNGS		PD25999c2			
CRC0165LMX0B02203TUMD05000	MUT	TargetedNGS		PD25999c2			
CRC0166LMX0A01201TUMD01000	GCN	RealTimePCR		PD25838a			
CRC0166LMX0A01201TUMD01000	GCN	WES		PD25838a			
CRC0166LMX0A01201TUMD01000	MUT	WES		PD25838a			
CRC0166LMX0B02203TUMD02000	GCN	TargetedNGS		PD25838a			
CRC0166LMX0B02203TUMD02000	MUT	TargetedNGS		PD25838a			
CRC0167LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0167LMX0A01201TUMD01000	GCN	RealTimePCR		PD26013a			
CRC0167LMX0A01201TUMD01000	MUT	SangerSequencing		PD26013a			
CRC0167LMX0B02204TUMD05000	GCN	TargetedNGS		PD26013a			
CRC0167LMX0B02204TUMD05000	MUT	TargetedNGS		PD26013a			
CRC0168LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0168LMX0A01201TUMD01000	GCN	RealTimePCR		PD25899a			
CRC0168LMX0A02204TUMD05000	GCN	TargetedNGS		PD25899a			
CRC0168LMX0A02204TUMD05000	MUT	TargetedNGS		PD25899a			
CRC0169LMH0000000000D01000	MUT	SangerSequencing		PD25888a			
CRC0169LMH0000000000D02000	GCN	TargetedNGS		PD25888a			
CRC0169LMH0000000000D02000	MUT	TargetedNGS		PD25888a			
CRC0169LMX0A01201TUMD01000	GCN	RealTimePCR		PD25888c			
CRC0169LMX0B02204TUMD05000	GCN	TargetedNGS		PD25888c			
CRC0169LMX0B02204TUMD05000	MUT	TargetedNGS		PD25888c			
CRC0170LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0170LMX0A01201TUMD01000	GCN	RealTimePCR		PD25885a			
CRC0170LMX0A02204TUMD05000	GCN	TargetedNGS		PD25885a			
CRC0170LMX0A02204TUMD05000	MUT	TargetedNGS		PD25885a			
CRC0171LMX0B01201TUMD01000	GCN	RealTimePCR		PD26008a			
CRC0171LMX0B01201TUMD01000	GCN	WES		PD26008a			
CRC0171LMX0B01201TUMD01000	MUT	WES		PD26008a			
CRC0171LMX0B02204TUMD05000	GCN	TargetedNGS		PD26008a			
CRC0171LMX0B02204TUMD05000	MUT	TargetedNGS		PD26008a			
CRC0173LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0173LMX0B01201TUMD03000	GCN	RealTimePCR		#N/A			
CRC0174LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0174LMX0A01201TUMD01000	GCN	RealTimePCR		PD25986a			
CRC0174LMX0A01201TUMD02000	GCN	TargetedNGS		PD25986a			
CRC0174LMX0A01201TUMD02000	MUT	TargetedNGS		PD25986a			
CRC0175LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0175LMX0A01201TUMD01000	GCN	RealTimePCR		PD25976a			
CRC0175LMX0A02204TUMD05000	GCN	TargetedNGS		PD25976a			
CRC0175LMX0A02204TUMD05000	MUT	TargetedNGS		PD25976a			
CRC0176LMX0A01201TUMD01000	GCN	WES		PD25973a			
CRC0176LMX0A01201TUMD03000	GCN	RealTimePCR		PD25973a			
CRC0176LMX0A01201TUMD03000	MUT	WES		PD25973a			
CRC0176LMX0A02201TUMD02000	GCN	TargetedNGS		PD25973a			
CRC0176LMX0A02201TUMD02000	MUT	TargetedNGS		PD25973a			
CRC0177LMX0A01201TUMD01000	GCN	RealTimePCR		PD26028a			
CRC0177LMX0A01201TUMD01000	GCN	WES		PD26028a			
CRC0177LMX0A01201TUMD01000	MUT	WES		PD26028a			
CRC0177LMX0A02204TUMD05000	GCN	TargetedNGS		PD26028a			
CRC0177LMX0A02204TUMD05000	MUT	TargetedNGS		PD26028a			
CRC0178LMX0A01202TUMD04000	GCN	WES		PD25998a2			
CRC0178LMX0A01202TUMD04000	MUT	WES		PD25998a2			
CRC0178LMX0A02204TUMD05000	GCN	TargetedNGS		PD25998a2			
CRC0178LMX0A02204TUMD05000	MUT	TargetedNGS		PD25998a2			
CRC0179LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0179LMX0A01201TUMD01000	GCN	RealTimePCR		PD25878a			
CRC0179LMX0A01201TUMD01000	GCN	WES		PD25878a			
CRC0179LMX0A01201TUMD01000	MUT	SangerSequencing		PD25878a			
CRC0179LMX0A01201TUMD01000	MUT	WES		PD25878a			
CRC0179LMX0B02204TUMD05000	GCN	TargetedNGS		PD25878a			
CRC0179LMX0B02204TUMD05000	MUT	TargetedNGS		PD25878a			
CRC0180LMX0A01201TUMD01000	MUT	SangerSequencing		PD25898a			
CRC0180LMX0A02204TUMD05000	GCN	TargetedNGS		PD25898a			
CRC0180LMX0A02204TUMD05000	MUT	TargetedNGS		PD25898a			
CRC0181LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0181LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A			
CRC0184LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0184LMX0A02204TUMD05000	GCN	TargetedNGS		PD25962a			
CRC0184LMX0A02204TUMD05000	MUT	TargetedNGS		PD25962a			
CRC0185LMX0B01201TUMD01000	GCN	WES		PD26071a			
CRC0185LMX0B01201TUMD01000	MUT	WES		PD26071a			
CRC0185LMX0B02204TUMD05000	MUT	TargetedNGS		PD26071a			
CRC0186LMX0A01201TUMD01000	GCN	WES		PD26070a			
CRC0186LMX0A01201TUMD01000	MUT	WES		PD26070a			
CRC0186LMX0B02204TUMD02000	GCN	RealTimePCR		PD26070a			
CRC0186LMX0B02204TUMD05000	MUT	TargetedNGS		PD26070a			
CRC0187LMX0A01201TUMD01000	MUT	SangerSequencing		PD25886a			
CRC0187LMX0A02204TUMD05000	GCN	TargetedNGS		PD25886a			
CRC0187LMX0A02204TUMD05000	MUT	TargetedNGS		PD25886a			
CRC0188LMX0A01201TUMD01000	GCN	WES		PD26069a			
CRC0188LMX0A01201TUMD01000	MUT	WES		PD26069a			
CRC0188LMX0A01201TUMD02000	MUT	TargetedNGS		PD26069a			
CRC0190LMX0A01201TUMD01000	GCN	WES		PD26064a			
CRC0190LMX0A01201TUMD01000	MUT	WES		PD26064a			
CRC0190LMX0A02204TUMD05000	MUT	TargetedNGS		PD26064a			
CRC0195PRX0A01201TUMD02000	GCN	TargetedNGS		PD25902a			
CRC0195PRX0A01201TUMD02000	MUT	TargetedNGS		PD25902a			
CRC0196LMX0B01201TUMD01000	GCN	WES		PD26138a			
CRC0196LMX0B01201TUMD01000	MUT	WES		PD26138a			
CRC0196LMX0B02201TUMD05000	MUT	TargetedNGS		PD26138a			
CRC0197LMX0A01201TUMD01000	GCN	WES		PD26068a			
CRC0197LMX0A01201TUMD01000	MUT	WES		PD26068a			
CRC0197LMX0A02204TUMD05000	MUT	TargetedNGS		PD26068a			
CRC0198LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0198LMX0A02204TUMD04000	MUT	TargetedNGS		PD26067a2			
CRC0199LMX0A01201TUMD01000	GCN	WES		PD26066a			
CRC0199LMX0A01201TUMD01000	MUT	WES		PD26066a			
CRC0199LMX0A02201TUMD04000	MUT	TargetedNGS		PD26066a			
CRC0202LMX0A01201TUMD01000	MUT	WES		PD25870a			
CRC0202LMX0A01201TUMD04000	GCN	WES		PD25870a			
CRC0202LMX0B02204TUMD05000	GCN	TargetedNGS		PD25870a			
CRC0202LMX0B02204TUMD05000	MUT	TargetedNGS		PD25870a			
CRC0203LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0204LMX0A01201TUMD04000	GCN	WES		PD26063a			
CRC0204LMX0A01201TUMD04000	MUT	WES		PD26063a			
CRC0204LMX0A02204TUMD05000	MUT	TargetedNGS		PD26063a			
CRC0207LMH0000000000D01000	MUT	SangerSequencing		PD26062a			
CRC0207LMH0000000000D02000	MUT	TargetedNGS		PD26062a			
CRC0207LMX0A02201TUMD05000	MUT	TargetedNGS		PD26062c			
CRC0214LMX0A02204TUMD05000	MUT	TargetedNGS		PD26061a			
CRC0214LMX0B01201TUMD01000	GCN	WES		PD26061a			
CRC0214LMX0B01201TUMD01000	MUT	WES		PD26061a			
CRC0216LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0216LMX0A02204TUMD05000	GCN	TargetedNGS		PD25887a			
CRC0216LMX0A02204TUMD05000	MUT	TargetedNGS		PD25887a			
CRC0217LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0217LMX0A02204TUMD05000	MUT	TargetedNGS		PD26060a			
CRC0218LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0218LMX0A02204TUMD05000	MUT	TargetedNGS		PD26059a			
CRC0219LMX0A01201TUMD01000	GCN	WES		PD25879a			
CRC0219LMX0A01201TUMD01000	MUT	WES		PD25879a			
CRC0219LMX0A02201TUMD04000	GCN	TargetedNGS		PD25879a			
CRC0219LMX0A02201TUMD04000	MUT	TargetedNGS		PD25879a			
CRC0221LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0221LMX0B02204TUMD05000	MUT	TargetedNGS		PD26058a			
CRC0223PRH0000000000D02000	GCN	TargetedNGS		PD25892a			
CRC0223PRH0000000000D02000	MUT	TargetedNGS		PD25892a			
CRC0223PRX0A01201TUMD02000	GCN	TargetedNGS		PD25892c			
CRC0223PRX0A01201TUMD02000	MUT	TargetedNGS		PD25892c			
CRC0224LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0226PRX0B01201TUMD01000	MUT	SangerSequencing		#N/A			
CRC0228LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0229LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0229LMX0A02201TUMD05000	GCN	TargetedNGS		PD25897a			
CRC0229LMX0A02201TUMD05000	MUT	TargetedNGS		PD25897a			
CRC0231LMX0A01201TUMD01000	MUT	SangerSequencing		PD26057a			
CRC0231LMX0A02204TUMD05000	MUT	TargetedNGS		PD26057a			
CRC0234PRX0A01201TUMD02000	GCN	TargetedNGS		PD25900a			
CRC0234PRX0A01201TUMD02000	MUT	TargetedNGS		PD25900a			
CRC0237LMX0A01201TUMD01000	MUT	SangerSequencing		#N/A			
CRC0237LMX0A01201TUMD03000	GCN	WES		#N/A			
CRC0237LMX0A01201TUMD03000	MUT	WES		#N/A			
CRC0238PRX0B01201TUMD01000	MUT	SangerSequencing		PD25828a			
CRC0238PRX0B01201TUMD05000	GCN	TargetedNGS		PD25828a			
CRC0238PRX0B01201TUMD05000	MUT	TargetedNGS		PD25828a			
CRC0239LMX0A01201TUMD01000	GCN	WES		#N/A			
CRC0239LMX0A01201TUMD01000	MUT	WES		#N/A			
CRC0240PRX0A01201TUMD02000	GCN	TargetedNGS		PD25829a			
CRC0240PRX0A01201TUMD02000	MUT	TargetedNGS		PD25829a			
CRC0242LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0242LMX0A01201TUMD01000	GCN	RealTimePCR		PD25993a			
CRC0242LMX0B02201TUMD02000	GCN	TargetedNGS		PD25993a			
CRC0242LMX0B02201TUMD02000	MUT	TargetedNGS		PD25993a			
CRC0243LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0243LMX0A01201TUMD01000	GCN	RealTimePCR		PD25974a			
CRC0243LMX0A01201TUMD01000	MUT	SangerSequencing		PD25974a			
CRC0243LMX0A02204TUMD05000	GCN	TargetedNGS		PD25974a			
CRC0243LMX0A02204TUMD05000	MUT	TargetedNGS		PD25974a			
CRC0243LMX0B01201TUMD01000	GCN	WES		PD25974a			
CRC0243LMX0B01201TUMD01000	MUT	WES		PD25974a			
CRC0244LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A			
CRC0246LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0246LMX0B01201TUMD01000	GCN	RealTimePCR		PD26033a			
CRC0246LMX0B01201TUMD01000	GCN	WES		PD26033a			
CRC0246LMX0B01201TUMD01000	MUT	SangerSequencing		PD26033a			
CRC0246LMX0B01201TUMD01000	MUT	WES		PD26033a			
CRC0246LMX0B02204TUMD05000	GCN	TargetedNGS		PD26033a			
CRC0246LMX0B02204TUMD05000	MUT	TargetedNGS		PD26033a			
CRC0248LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0248LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A			
CRC0252LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0252LMX0A01201TUMD01000	GCN	RealTimePCR		PD25991a			
CRC0252LMX0A01201TUMD01000	GCN	WES		PD25991a			
CRC0252LMX0A01201TUMD01000	MUT	SangerSequencing		PD25991a			
CRC0252LMX0A01201TUMD01000	MUT	WES		PD25991a			
CRC0252LMX0A02204TUMD05000	GCN	TargetedNGS		PD25991a			
CRC0252LMX0A02204TUMD05000	MUT	TargetedNGS		PD25991a			
CRC0253LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0253LMX0A01201TUMD01000	GCN	RealTimePCR		PD25897c			
CRC0253LMX0A01201TUMD01000	MUT	SangerSequencing		PD25897c			
CRC0253LMX0A02201TUMD05000	GCN	TargetedNGS		PD25897c			
CRC0253LMX0A02201TUMD05000	MUT	TargetedNGS		PD25897c			
CRC0254LMX0A01201TUMD01000	MUT	WES		PD26098a			
CRC0254LMX0A01201TUMD02000	MUT	TargetedNGS		PD26098a			
CRC0256PRX0A01201TUMD01000	MUT	SangerSequencing		PD25876a			
CRC0256PRX0A01201TUMD02000	GCN	TargetedNGS		PD25876a			
CRC0256PRX0A01201TUMD02000	MUT	TargetedNGS		PD25876a			
CRC0257LMH0000000000D02000	MUT	TargetedNGS		PD26056a			
CRC0257LMX0A01201TUMD01000	GCN	RealTimePCR		PD26056c			
CRC0257LMX0A01201TUMD06000	GCN	WES		PD26056c			
CRC0257LMX0A01201TUMD06000	MUT	WES		PD26056c			
CRC0257LMX0A02204TUMD01000	GCN	RealTimePCR		PD26056c			
CRC0257LMX0A02204TUMD05000	MUT	TargetedNGS		PD26056c			
CRC0259PRX0A01201TUMD02000	GCN	TargetedNGS		PD25830a			
CRC0259PRX0A01201TUMD02000	MUT	TargetedNGS		PD25830a			
CRC0261LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0261LMX0A01201TUMD01000	GCN	RealTimePCR		PD26055a			
CRC0261LMX0A02201TUMD05000	MUT	TargetedNGS		PD26055a			
CRC0262LMX0A01201TUMD01000	GCN	RealTimePCR		PD26054a			
CRC0262LMX0A01201TUMD01000	GCN	WES		PD26054a			
CRC0262LMX0A01201TUMD01000	MUT	WES		PD26054a			
CRC0262LMX0A02201TUMD05000	MUT	TargetedNGS		PD26054a			
CRC0263PRX0A01201TUMD01000	MUT	SangerSequencing		PD25866a			
CRC0263PRX0A01201TUMD04000	GCN	TargetedNGS		PD25866a			
CRC0263PRX0A01201TUMD04000	MUT	TargetedNGS		PD25866a			
CRC0264LMX0A01201TUMD01000	GCN	RealTimePCR		PD26053a			
CRC0264LMX0A01201TUMD01000	GCN	WES		PD26053a			
CRC0264LMX0A01201TUMD01000	MUT	WES		PD26053a			
CRC0264LMX0A02201TUMD05000	MUT	TargetedNGS		PD26053a			
CRC0265LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0265LMX0B01201TUMD01000	GCN	RealTimePCR		PD25848a			
CRC0265LMX0B02204TUMD05000	GCN	TargetedNGS		PD25848a			
CRC0265LMX0B02204TUMD05000	MUT	TargetedNGS		PD25848a			
CRC0267PRX0A01201TUMD01000	MUT	SangerSequencing		PD25850a			
CRC0267PRX0B01201TUMD02000	GCN	TargetedNGS		PD25850a			
CRC0267PRX0B01201TUMD02000	MUT	TargetedNGS		PD25850a			
CRC0268PRX0A01201TUMD05000	GCN	TargetedNGS		PD25847a2			
CRC0268PRX0A01201TUMD05000	MUT	TargetedNGS		PD25847a2			
CRC0269PRX0A01201TUMD02000	GCN	TargetedNGS		PD25846a			
CRC0269PRX0A01201TUMD02000	MUT	TargetedNGS		PD25846a			
CRC0269PRX0B01201TUMD01000	MUT	SangerSequencing		PD25846a			
CRC0272PRX0B01201TUMD05000	GCN	TargetedNGS		PD25851a			
CRC0272PRX0B01201TUMD05000	MUT	TargetedNGS		PD25851a			
CRC0274LMX0A01201TUMD01000	GCN	RealTimePCR		#N/A			
CRC0274LMX0A01201TUMD01000	MUT	SangerSequencing		#N/A			
CRC0276LMX0A02002TUMD01000	GCN	RealTimePCR		PD26168a			
CRC0276LMX0A02002TUMD05000	MUT	TargetedNGS		PD26168a			
CRC0277LMX0A01004TUMD01000	GCN	RealTimePCR		PD26156a2			
CRC0277LMX0A01204TUMD01000	MUT	SangerSequencing		PD26156a2			
CRC0277LMX0A02202TUMD05000	MUT	TargetedNGS		PD26156a2			
CRC0281PRX0B01201TUMD01000	MUT	SangerSequencing		PD25852a			
CRC0281PRX0B01201TUMD05000	GCN	TargetedNGS		PD25852a			
CRC0281PRX0B01201TUMD05000	MUT	TargetedNGS		PD25852a			
CRC0282PRX0A01201TUMD01000	GCN	TargetedNGS		PD25837a			
CRC0282PRX0A01201TUMD01000	MUT	SangerSequencing		PD25837a			
CRC0282PRX0A01201TUMD01000	MUT	TargetedNGS		PD25837a			
CRC0285LMX0A01201TUMD01000	GCN	RealTimePCR		#N/A			
CRC0285LMX0A01201TUMD06000	GCN	WES		#N/A			
CRC0285LMX0A01201TUMD06000	MUT	WES		#N/A			
CRC0287PRX0A01201TUMD01000	MUT	SangerSequencing		PD25939a			
CRC0287PRX0A01201TUMD02000	GCN	TargetedNGS		PD25939a			
CRC0287PRX0A01201TUMD02000	MUT	TargetedNGS		PD25939a			
CRC0288PRH0000000000D02000	GCN	TargetedNGS		PD25934a			
CRC0288PRH0000000000D02000	MUT	TargetedNGS		PD25934a			
CRC0288PRX0A01201TUMD05000	GCN	TargetedNGS		PD25934c			
CRC0288PRX0A01201TUMD05000	MUT	TargetedNGS		PD25934c			
CRC0290PRH0000000000D02000	GCN	TargetedNGS		PD25849a			
CRC0290PRH0000000000D02000	MUT	TargetedNGS		PD25849a			
CRC0290PRX0A01201TUMD01000	MUT	SangerSequencing		PD25849c			
CRC0290PRX0A01201TUMD05000	GCN	TargetedNGS		PD25849c			
CRC0290PRX0A01201TUMD05000	MUT	TargetedNGS		PD25849c			
CRC0291LMH0000000000D01000	MUT	SangerSequencing		PD26052a			
CRC0291LMH0000000000D02000	MUT	TargetedNGS		PD26052a			
CRC0291LMX0A01201TUMD01000	GCN	RealTimePCR		PD26052c			
CRC0291LMX0A02204TUMD05000	MUT	TargetedNGS		PD26052c			
CRC0292LMX0A01201TUMD01000	GCN	RealTimePCR		PD26051a			
CRC0292LMX0A01201TUMD01000	MUT	SangerSequencing		PD26051a			
CRC0292LMX0A02204TUMD05000	MUT	TargetedNGS		PD26051a			
CRC0297LMX0A01201TUMD01000	GCN	RealTimePCR		PD26158a			
CRC0297LMX0A01201TUMD06000	GCN	WES		PD26158a			
CRC0297LMX0A01201TUMD06000	MUT	WES		PD26158a			
CRC0297LMX0A02201TUMD04000	MUT	TargetedNGS		PD26158a			
CRC0303LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0303LMX0A01201TUMD01000	GCN	RealTimePCR		#N/A			
CRC0305LMH0000000000D01000	MUT	SangerSequencing		#N/A			
CRC0305LMX0B01201TUMD01000	GCN	RealTimePCR		PD26049a			
CRC0305LMX0B02201TUMD04000	GCN	TargetedNGS		PD26049a			
CRC0305LMX0B02201TUMD04000	MUT	TargetedNGS		PD26049a			
CRC0306LMX0A01201TUMD01000	GCN	RealTimePCR		PD25838c			
CRC0306LMX0A01201TUMD05000	GCN	TargetedNGS		PD25838c			
CRC0306LMX0A01201TUMD05000	MUT	TargetedNGS		PD25838c			
CRC0306LMX0B01201TUMD06000	GCN	WES		PD25838c			
CRC0306LMX0B01201TUMD06000	MUT	WES		PD25838c			
CRC0307LMX0A01201TUMD01000	GCN	RealTimePCR		PD25838d			
CRC0307LMX0A01201TUMD01000	GCN	WES		PD25838d			
CRC0307LMX0A01201TUMD01000	MUT	WES		PD25838d			
CRC0307LMX0A02204TUMD04000	GCN	TargetedNGS		PD25838d			
CRC0307LMX0A02204TUMD04000	MUT	TargetedNGS		PD25838d			
CRC0309LMX0A01201TUMD01000	GCN	RealTimePCR		PD26048a			
