Model	Drug	Manufacturer	Dose	Duration	Frequency	Arm Size	Response Class	Passage Range
CRC0578LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0580LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0580LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0581LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0581LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0610LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0610LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0616LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0616LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0626LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0626LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0670LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0670LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0680LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0680LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0706LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0706LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0716LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0716LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0718LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0718LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0729LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0729LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0734LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0734LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0743LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0743LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0753LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0753LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0771LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0771LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0772LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0772LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0773LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0773LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0783LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0783LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1063LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1063LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1065LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1065LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1067LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1067LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1071LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1071LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1072LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1072LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1138LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1138LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1144LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1144LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1145LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1145LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1146LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1146LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1157LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1157LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1166LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1166LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1169LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1169LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1182LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1182LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1241LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1241LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1264LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1264LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1272LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1272LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC1278LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1278LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1303LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1303LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1306LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1306LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1313LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1313LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1314LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1314LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1321LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1321LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1329LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1329LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1331LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1331LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC1337LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1337LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1342LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1342LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1360LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1360LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1367LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1367LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1369LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1369LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1376LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1376LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1379LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1379LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1389LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1389LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1399LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1399LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1408LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1408LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1430LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1430LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1432LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1432LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1445LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1445LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1449LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1449LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1472LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1472LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1473LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1473LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1486LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1486LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1501LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1501LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1502LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1502LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1522LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1522LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1530LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1530LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1561LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1561LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1562LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1562LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1575LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1575LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1581LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1581LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1586LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1586LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1599LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1599LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC1605LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1605LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1648LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC1648LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
